anio,iso3,iso3_desc_fundar,es_agregacion,letra,gran_sector,id_tipo_sector,tipo_sector,particip_va_pib,geocodigoFundar,geonombreFundar
1970,CYM,Islas Caimán,0,F,Construcción,1,Bienes,0.0852864699010691,CYM,Islas Caimán
1970,CYM,Islas Caimán,0,D,Industria manufacturera,1,Bienes,0.0145259048773276,CYM,Islas Caimán
1970,CYM,Islas Caimán,0,CE,Energía y minería,1,Bienes,0.0228931057786358,CYM,Islas Caimán
1970,CYM,Islas Caimán,0,JKLMNOP,Otros servicios,2,Servicios,0.69039990912663,CYM,Islas Caimán
1970,CYM,Islas Caimán,0,I,Transporte y comunicaciones,2,Servicios,0.0791559207580678,CYM,Islas Caimán
1970,CYM,Islas Caimán,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.104974388825758,CYM,Islas Caimán
1970,CAF,República Centroafricana,0,AB,Agro y pesca,1,Bienes,0.296596396900509,CAF,Rep. Centroafricana
1970,CAF,República Centroafricana,0,F,Construcción,1,Bienes,0.009749591387998,CAF,Rep. Centroafricana
1970,CAF,República Centroafricana,0,D,Industria manufacturera,1,Bienes,0.180468221112171,CAF,Rep. Centroafricana
1970,CAF,República Centroafricana,0,CE,Energía y minería,1,Bienes,0.0813076781836797,CAF,Rep. Centroafricana
1970,CAF,República Centroafricana,0,JKLMNOP,Otros servicios,2,Servicios,0.267983182317472,CAF,Rep. Centroafricana
1970,CAF,República Centroafricana,0,I,Transporte y comunicaciones,2,Servicios,0.0132605837813535,CAF,Rep. Centroafricana
1970,CAF,República Centroafricana,0,GH,"Comercio, hotelería y restaurantes",2,Servicios,0.150634346316817,CAF,Rep. Centroafricana
1970,LKA,Sri Lanka,0,AB,Agro y pesca,1,Bienes,0.311668972288939,LKA,Sri Lanka
1970,LKA,Sri Lanka,0,F,Construcción,1,Bienes,0.0522805917424255,LKA,Sri Lanka
1970,LKA,Sri Lanka,0,D,Industria manufacturera,1,Bienes,0.182642830860235,LKA,Sri Lanka
1970,LKA,Sri Lanka,0,CE,Energía y minería,1,Bienes,0.0154650618215264,LKA,Sri Lanka
